network,State,Station_ID,Site_ID,Site_Name,Latitude,Longitude,Elevation_ft,Elevation_m
SNTL    ,WY,09F27S ,786,ST. LAWRENCE ALT,43.03313,-109.17025,8620,2627
SNTL    ,NV,15H19S,1203,STAG MOUNTAIN,41.4081,-115.4466,7800,2377
SNTL    ,MT,14A12S ,787,STAHL PEAK,48.90902,-114.86302,6030,1838
SNTL    ,WA,21B10S ,788,STAMPEDE PASS,47.27427,-121.34162,3850,1173
SNTL    ,OR,19E07S ,789,STARR RIDGE,44.26423,-119.02162,5250,1600
SNTL    ,UT,10J20S ,790,STEEL CREEK PARK,40.90855,-110.50472,10200,3109
SNTL    ,WA,21B01S ,791,STEVENS PASS,47.74607,-121.09288,3950,1204
SNTL    ,ID,14F02S ,792,STICKNEY MILL,43.86117,-114.20902,7430,2265
SNTL    ,CO,05J12S ,793,STILLWATER CREEK,40.22543,-105.91977,8720,2658
SNTL    ,OR,20G09S ,794,STRAWBERRY,42.12587,-120.8361,5770,1759
SNTL    ,UT,11J08S ,795,STRAWBERRY DIVIDE,40.19,-111.22,8123,2476
SNTL    ,AK,44L01S ,1088,STRAWBERRY REEF,60.2308,-144.861,30,9
SNTL    ,MT,10C23S ,1009,STRINGER CREEK,46.9269,-110.90198,6550,1996
SNTL    ,MT,13C01S ,901,STUART MOUNTAIN,46.99513,-113.92658,7400,2256
SNTL    ,CO,07M34S ,797,STUMP LAKES,37.47621,-107.63295,11200,3414
SNTL    ,WY,07E12S ,798,SUCKER CREEK,44.7225,-107.40033,8880,2707
SNTL    ,AK,46M04S ,1095,SUGARLOAF MTN,61.081,-146.2995,550,168
SNTL    ,OR,20G02S ,800,SUMMER RIM,42.6957,-120.80158,7080,2158
SNTL    ,AK,49L19S ,955,SUMMIT CREEK,60.61713,-149.53128,1400,427
SNTL    ,OR,22F14S ,801,SUMMIT LAKE,43.44907,-122.13808,5610,1710
SNTL    ,NV,18H02S ,1194,SUMMIT LK,41.48872,-118.99588,7649,2331
SNTL    ,CA,19L42S ,1052,SUMMIT MEADOW,38.39747,-119.53522,9313,2839
SNTL    ,CO,06K14S ,802,SUMMIT RANCH,39.71796,-106.15802,9400,2865
SNTL    ,OR,21G17S ,1078,SUN PASS,42.78637,-121.97715,5400,1646
SNTL    ,ID,15B09S ,803,SUNSET,47.55545,-115.82422,5540,1689
SNTL    ,WA,21C13S ,804,SURPRISE LAKES,46.09497,-121.76345,4290,1308
SNTL    ,AK,50N07S ,967,SUSITNA VALLEY HIGH,62.13333,-150.04167,375,114
SNTL    ,WA,20A41S ,975,SWAMP CREEK,48.57142,-120.78267,3930,1198
SNTL    ,OR,21G16S ,1077,SWAN LAKE MTN,42.41323,-121.68002,6830,2082
SNTL    ,ID,13F09S ,805,SWEDE PEAK,43.626,-113.96887,7640,2329
SNTL    ,WA,22C13S ,1012,SWIFT CREEK,46.1638,-122.18402,4440,1353
SNTL    ,WY,10E06S ,806,SYLVAN LAKE,44.47792,-110.15535,8420,2566
SNTL    ,WY,10E20S ,807,SYLVAN ROAD,44.47835,-110.03805,7120,2170
SNTL    ,MT,11D26S ,808,TABLE MOUNTAIN,45.80272,-111.58655,4474,1364
SNTL    ,CA,20K27S ,809,TAHOE CITY CROSS,39.17162,-120.15362,6797,2072
SNTL    ,NM,05N14S ,1168,TAOS POWDERHORN,36.58203,-105.45611,11057,3370
SNTL    ,AK,46L01S ,1076,TATITLEK,60.86107,-146.677,50,15
SNTL    ,OR,21G03S ,810,TAYLOR BUTTE,42.69108,-121.42592,5030,1533
SNTL    ,NV,15H09S ,811,TAYLOR CANYON,41.22933,-116.02883,6200,1890
SNTL    ,OR,17D07S ,812,TAYLOR GREEN,45.07707,-117.55067,5740,1750
SNTL    ,UT,11H58S ,1013,TEMPLE FORK,41.7931,-111.54605,7406,2257
SNTL    ,NV,15J22S ,1202,TENT MTN LOWER,40.9785,-115.1722,7000,2134
SNTL    ,NV,15J23S ,1201,TENT MTN UPPER,40.9653,-115.1646,7000,2134
SNTL    ,MT,11E24S ,813,TEPEE CREEK,44.78562,-111.71,8000,2438
SNTL    ,AK,45P03S ,951,TEUCHET CREEK,64.94583,-145.51667,1640,500
SNTL    ,UT,11J56S ,814,THAYNES CANYON,40.6236,-111.53322,9230,2813
SNTL    ,OR,21E13S ,815,THREE CREEKS MEADOW,44.14425,-121.64095,5690,1734
SNTL    ,WY,10E07S ,816,THUMB DIVIDE,44.36888,-110.57825,7980,2432
SNTL    ,WA,20A07S ,817,THUNDER BASIN,48.52753,-120.9895,4320,1317
SNTL    ,WY,07E39S ,818,TIE CREEK,44.81243,-107.41017,6870,2094
SNTL    ,WY,09E03S ,819,TIMBER CREEK,44.02742,-109.17872,7950,2423
SNTL    ,UT,10K06S ,1097,TIMBERLINE,39.67712,-110.43395,8684,2647
SNTL    ,UT,11J21S ,820,TIMPANOGOS DIVIDE,40.42817,-111.61633,8140,2481
SNTL    ,WA,21B20S ,899,TINKHAM CREEK,47.33198,-121.46975,2990,911
SNTL    ,OR,18E09S ,821,TIPTON,44.65567,-118.42617,5150,1570
SNTL    ,MT,11C04S ,893,TIZER BASIN,46.34937,-111.85308,6880,2097
SNTL    ,NV,16H07S ,1136,TOE JAM,41.32185,-116.33807,7750,2362
SNTL    ,WY,10F09S ,822,TOGWOTEE PASS,43.74902,-110.0578,9580,2920
SNTL    ,OR,22F45S ,1044,TOKETEE AIRSTRIP,43.22718,-122.42537,3240,988
SNTL    ,AK,50N05S ,1089,TOKOSITNA VALLEY,62.63,-150.77617,850,259
SNTL    ,NM,05N19S ,934,TOLBY,36.47493,-105.19468,10180,3103
SNTL    ,UT,11H36S ,823,TONY GROVE LAKE,41.89837,-111.62957,8386,2556
SNTL    ,UT,11H03S ,1113,TONY GROVE RS,41.88467,-111.56882,6250,1905
SNTL    ,WA,17C05S ,824,TOUCHET,46.11868,-117.8505,5530,1686
SNTL    ,CO,06J29S ,825,TOWER,40.53743,-106.6765,10500,3200
SNTL    ,WY,08G07S ,826,TOWNSEND CREEK,42.69525,-108.89572,8700,2652
SNTL    ,CO,07K13S ,827,TRAPPER LAKE,39.99884,-107.2362,9700,2957
SNTL    ,NM,05N04S ,1083,TRES RITOS,36.12778,-105.52714,8600,2621
SNTL    ,UT,10J52S ,828,TRIAL LAKE,40.67815,-110.94873,9992,3046
SNTL    ,CO,05M08S ,829,TRINCHERA,37.35328,-105.23233,10860,3310
SNTL    ,WA,20A46S ,1171,TRINITY,48.0747,-120.8493,2930,893
SNTL    ,ID,15F05S ,830,TRINITY MTN.,43.62903,-115.43818,7770,2368
SNTL    ,WY,10G15S ,831,TRIPLE PEAK,42.76393,-110.5914,8500,2591
SNTL    ,WA,20B25S ,832,TROUGH,47.23328,-120.29412,5480,1670
SNTL    ,UT,09J16S ,833,TROUT CREEK,40.73833,-109.67317,9518,2901
SNTL    ,NV,15H11S ,1200,TROUT CREEK UPPER,41.0439,-115.0955,7000,2134
SNTL    ,CA,20K13S ,834,TRUCKEE #2,39.30087,-120.18407,6509,1984
SNTL    ,AK,49L13S ,954,TURNAGAIN PASS,60.78043,-149.18325,1880,573
SNTL    ,MT,14C13S ,835,TWELVEMILE CREEK,46.14295,-114.4476,5600,1707
SNTL    ,MT,14C12S ,836,TWIN LAKES,46.1426,-114.50535,6400,1951
SNTL    ,WY,10E17S ,837,TWO OCEAN PLATEAU,44.15178,-110.22122,9240,2816
SNTL    ,CO,05J08S ,838,UNIVERSITY CAMP,40.03278,-105.5761,10300,3139
SNTL    ,AK,44Q07S ,952,UPPER CHENA,65.1,-144.93317,2850,869
SNTL    ,AK,46Q07S ,1090,UPPER NOME CREEK,65.3671,-146.592,2520,768
SNTL    ,CO,07M16S ,839,UPPER RIO GRANDE,37.72194,-107.26015,9400,2865
SNTL    ,MT,ME11 ,1181,UPPER SAGE CK,48.8939,-111.0935,4408,1344
SNTL    ,CO,06M03S ,840,UPPER SAN JUAN,37.48576,-106.83535,10200,3109
SNTL    ,CO,06L14S ,1141,UPPER TAYLOR,38.99077,-106.75422,10640,3243
SNTL    ,AK,45M07S ,1055,UPPER TSAINA RIVER,61.19112,-145.64807,1750,533
SNTL    ,WA,20B07S ,841,UPPER WHEELER,47.28734,-120.37015,4330,1320
SNTL    ,UT,11H60S ,1098,USU DOC DANIEL,41.90035,-111.50978,8270,2521
SNTL    ,CO,05M17S ,1005,UTE CREEK,37.61497,-105.37327,10650,3246
SNTL    ,NV,15K04S ,1137,VACARRO SPRING,39.44953,-115.98335,7860,2396
SNTL    ,NM,06N16S ,1017,VACAS LOCAS,36.02635,-106.81362,9306,2836
SNTL    ,CO,06K39S ,842,VAIL MOUNTAIN,39.61676,-106.38006,10300,3139
SNTL    ,CO,07M31S ,843,VALLECITO,37.4851,-107.5068,10880,3316
SNTL    ,ID,16E14S ,979,VAN WYCK,44.37665,-116.3366,4920,1500
SNTL    ,UT,12K01S ,844,VERNON CREEK,39.93658,-112.41422,7401,2256
SNTL    ,ID,14F04S ,845,VIENNA MINE,43.79942,-114.85273,8960,2731
SNTL    ,CA,19L13S ,846,VIRGINIA LAKES RIDGE,38.07298,-119.23433,9445,2879
SNTL    ,CO,07M37S ,1188,WAGER GULCH,37.88248,-107.3643,11100,3383
SNTL    ,MT,12B13S ,847,WALDRON,47.91998,-112.79087,5600,1707
SNTL    ,CA,20K25S ,848,WARD CREEK #3,39.13562,-120.21763,6655,2028
SNTL    ,NV,14K05S ,849,WARD MOUNTAIN,39.13242,-114.95575,9200,2804
SNTL    ,MT,13C43S ,850,WARM SPRINGS,46.27368,-113.164,7800,2377
SNTL    ,WA,23B17S ,974,WATERHOLE,47.94485,-123.42594,5010,1527
SNTL    ,WY,06H09S ,852,WEBBER SPRINGS,41.15946,-106.92714,9250,2819
SNTL    ,UT,12M03S ,853,WEBSTER FLAT,37.574,-112.90033,9170,2795
SNTL    ,WA,21A31S ,909,WELLS CREEK,48.8661,-121.78976,4030,1228
SNTL    ,CO,07M36S ,1160,WEMINUCHE CREEK,37.51976,-107.32152,10740,3274
SNTL    ,NM,05P08S ,854,WESNER SPRINGS,35.77556,-105.5425,11120,3389
SNTL    ,ID,16D08S ,855,WEST BRANCH,45.0722,-116.45413,5560,1695
SNTL    ,MT,11E07S ,924,WEST YELLOWSTONE,44.65833,-111.09198,6700,2042
SNTL    ,NV,14L04S ,1147,WHEELER PEAK,39.00995,-114.31007,10147,3093
SNTL    ,CO,05M14S ,857,WHISKEY CK,37.21411,-105.12245,10220,3115
SNTL    ,MT,11E30S ,858,WHISKEY CREEK,44.61088,-111.14998,6800,2073
SNTL    ,WY,06H22S ,859,WHISKEY PARK,41.00289,-106.90848,8950,2728
SNTL    ,ID,11E36S ,860,WHITE ELEPHANT,44.53267,-111.41085,7710,2350
SNTL    ,AZ,12P02S ,861,WHITE HORSE LAKE,35.14202,-112.14915,7180,2188
SNTL    ,MT,09D08S ,862,WHITE MILL,45.04575,-109.90987,8700,2652
SNTL    ,WA,21C28S ,863,WHITE PASS E.S.,46.64142,-121.38153,4440,1353
SNTL    ,UT,10K02S ,864,WHITE RIVER #1,39.96433,-110.9875,8641,2634
SNTL    ,NV,15L01S ,1213,WHITE RIVER NV,38.94565,-115.37918,7440,2268
SNTL    ,UT,11M03S ,865,WIDTSOE #3,37.83648,-111.88147,9640,2938
